samplename,population,year
AC13,northern,1980
AC891,northern,1980
AC933,northern,1980
BD1113,northern,1980
BD233,northern,1980
BD502,northern,1980
BD535,northern,1980
BD612,northern,1980
BD650,northern,1980
BD684,northern,1980
BD791,northern,1980
Y1186,northern,1980
Y228,northern,1980
Y428,northern,1980
Z247,northern,1980
H163,island,1980
H275,island,1980
H292,island,1980
H380,island,1980
H416,island,1980
H86,island,1980
H94,island,1980
AB6,southern,1980
C120,southern,1980
C495,southern,1980
D26,southern,1980
D425,southern,1980
F502,southern,1980
F860,southern,1980
G251,southern,1980
G327,southern,1980
G479,southern,1980
G488,southern,1980
G727,southern,1980
H121,southern,1980
H205,southern,1980
H334,southern,1980
H80,southern,1980
K16,southern,1980
LM186,southern,1980
LM189,southern,1980
LM213,southern,1980
LM30,southern,1980
LM69,southern,1980
O108,southern,1980
O339,southern,1980
S1121,southern,1980
S376,southern,1980
S721,southern,1980
S892,southern,1980
T990,southern,1980
W26,hybridzone,1980
X1037,hybridzone,1980
X2478,hybridzone,1980
X53,hybridzone,1980
Z538,hybridzone,1980